latitude,longitude,scan,track,acq_date,acq_time,satellite,instrument,confidence,daynight
32.694205,-90.036686,3097,405,2025-01-01,1631,L8,OLI,H,D
32.225929,-90.017818,3107,2138,2025-01-01,1631,L8,OLI,H,D
32.225659,-90.017809,3107,2139,2025-01-01,1631,L8,OLI,M,D
31.184228,-89.971973,3146,5993,2025-01-01,1631,L8,OLI,H,D
31.183957,-89.971965,3146,5994,2025-01-01,1631,L8,OLI,H,D
31.183965,-89.97165,3147,5994,2025-01-01,1631,L8,OLI,H,D
32.207292,-89.982525,3216,2210,2025-01-01,1631,L8,OLI,M,D
32.519815,-89.988981,3228,1054,2025-01-01,1631,L8,OLI,M,D
32.603634,-89.990167,3233,744,2025-01-01,1631,L8,OLI,M,D
32.603912,-89.989856,3234,743,2025-01-01,1631,L8,OLI,H,D
32.603642,-89.989847,3234,744,2025-01-01,1631,L8,OLI,H,D
32.353525,-89.952266,3326,1672,2025-01-01,1631,L8,OLI,M,D
32.358643,-89.941598,3360,1654,2025-01-01,1631,L8,OLI,M,D
32.35817,-89.938715,3369,1656,2025-01-01,1631,L8,OLI,H,D
31.455637,-89.909515,3371,4995,2025-01-01,1631,L8,OLI,H,D
31.455366,-89.909507,3371,4996,2025-01-01,1631,L8,OLI,L,D
32.501275,-89.914637,3459,1129,2025-01-01,1631,L8,OLI,M,D
32.501005,-89.914628,3459,1130,2025-01-01,1631,L8,OLI,H,D
32.456681,-89.901395,3496,1295,2025-01-01,1631,L8,OLI,H,D
32.456411,-89.901386,3496,1296,2025-01-01,1631,L8,OLI,H,D
32.45614,-89.901378,3496,1297,2025-01-01,1631,L8,OLI,L,D
31.314426,-89.861362,3510,5521,2025-01-01,1631,L8,OLI,M,D
31.390711,-89.837184,3594,5241,2025-01-01,1631,L8,OLI,H,D
31.390441,-89.837176,3594,5242,2025-01-01,1631,L8,OLI,H,D
32.308161,-89.854923,3627,1848,2025-01-01,1631,L8,OLI,L,D
32.307891,-89.854915,3627,1849,2025-01-01,1631,L8,OLI,H,D
31.935447,-89.742775,3944,3235,2025-01-01,1631,L8,OLI,M,D
30.902113,-89.698727,3989,7058,2025-01-01,1631,L8,OLI,L,D
31.209523,-89.682871,4067,5923,2025-01-01,1631,L8,OLI,H,D
31.209252,-89.682864,4067,5924,2025-01-01,1631,L8,OLI,H,D
32.125253,-89.619696,4349,2543,2025-01-01,1631,L8,OLI,H,D
32.124983,-89.619688,4349,2544,2025-01-01,1631,L8,OLI,H,D
31.42497,-89.572885,4435,5135,2025-01-01,1631,L8,OLI,H,D
31.4247,-89.572878,4435,5136,2025-01-01,1631,L8,OLI,H,D
